0,237
1,184
1,143
1,117
2,99
2,87
2,78
2,70
3,64
3,60
3,55
5,43
12,39
19,40
26,40
34,39
41,39
48,40
55,40
62,39
69,39
78,40
85,39
92,40
99,40
106,39
115,39
123,39
131,39
140,39
148,39
157,39
165,39
173,39
181,39
189,38
197,39
207,40
215,38
223,38
231,39
239,38
248,39
256,39
264,39
273,40
281,39
290,39
298,40
306,40
314,39
322,39
331,40
340,39
348,39
356,40
364,40
373,40
381,40
389,40
397,40
406,40
415,41
423,40
431,40
439,40
447,40
456,40
464,40
473,39
481,39
489,40
498,40
506,40
514,68
522,212
531,235
542,321
551,42
559,40
567,40
575,41
584,39
592,40
600,40
609,39
617,40
626,40
634,40
642,40
650,40
658,39
666,39
676,40
684,40
692,40
700,40
708,40
717,40
725,40
733,39
742,39
750,40
759,39
767,40
775,40
783,40
791,40
800,40
809,39
817,39
825,39
833,40
842,40
850,40
858,39
866,40
875,40
884,39
892,39
900,39
908,39
916,40
925,39
933,40
942,39
950,39
958,39
967,39
975,40
983,39
991,40
999,39
1009,39
1018,40
1027,39
1036,39
1045,41
1055,40
1064,40
1074,162
1084,83
1093,217
1104,45
1113,39
1122,39
1131,40
1142,39
1151,40
1160,38
1169,39
1178,40
1188,39
1197,39
1207,40
1216,39
1226,39
1235,40
1244,39
1253,40
1262,39
1273,39
1282,40
1291,39
1300,39
1310,41
1319,39
1328,39
1338,38
1347,39
1357,39
1366,39
1375,39
1384,40
1394,39
1403,39
1413,40
1422,40
1431,39
1441,39
1450,40
1459,40
1468,40
1479,39
1488,40
1497,39
1506,39
1515,40
1525,39
1534,40
1544,39
1553,39
1562,40
1572,39
1581,40
1590,41
1599,39
1610,40
1619,173
1629,215
1639,307
1650,41
1659,40
1668,39
1678,40
1687,39
1697,39
1706,39
1715,40
1724,39
1733,40
1744,40
1753,39
1762,40
1771,40
1781,39
1790,40
1799,40
1809,39
1818,40
1828,39
1837,39
1846,40
1855,39
1865,39
1875,40
1884,39
1893,40
1902,39
1912,39
1921,40
1930,40
1940,39
1950,41
